word,phonetic
klikka,klɪkkɐ
klikek,klɪkɛk
mħadda,mhɐddɐ
mħaded,mhɐdɛt
pjazza,pjɐtstsɐ
pjazez,pjɐtsɛts
plakka,plɐkkɐ
plakek,plɐkɛk
spalel,spɐlɛl
stanga,stɐngɐ
stikka,stɪkkɐ
stikek,stɪkɛk
trinek,trɪnɛk
troffa,trɔffɐ
vleġeġ,vlɛʤɛʧ
xkaffa,ʃkɐffɐ
xkafef,ʃkɐfɛf
bejt,bɛɪt
bjut,bjʊt
belt,bɛlt
bliet,blɪːt
bint,bɪnt
ċnut,ʧnʊt
ċoff,ʧɔff
ċfuf,ʧfʊf
ċorma,ʧɔrmɐ
ċrum,ʧrʊm
dras,drɐs
dawl,dɐʊl
dejn,dɛɪn
denb,dɛmp
fqar,fʔɐr
ġenb,ʤɛmp
ġidra,ʤɪdrɐ
ġdur,ʤdʊr
ħabba,hɐbbɐ
ħadd,hɐdt
ħajt,hɐɪt
ħalq,hɐlʔ
ħluq,hlʊʔ
ħmar,hmɐr
kbir,gbɪr
kbira,gbɪrɐ
kbar,gbɐr
kfief,kfɪːf
kelb,kɛlp
kelba,kɛlbɐ
klieb,klɪːp
kelma,kɛlmɐ
kmiem,kmɪːm
lwien,lwɪːn
libsa,lɪpsɐ
lbiesi,lbɪːsɪ
mlieħ,mlɪːh
mewt,mɛʊt
mwiet,mwɪːt
mħuħ,mhʊh
nwiel,nwɪːl
qaħbu,ʔɐhbʊ
qalb,ʔɐlp
qalba,ʔɐlbɐ
qlub,ʔlʊp
qamħ,ʔɐmh
qoffa,ʔɔffɐ
qorq,ʔɔrʔ
rħisa,rhɪsɐ
rqieqa,rʔɪːʔɐ
rqaq,rʔɐʔ
sajf,sɐɪf
sarġ,sɐrʧ
sjuf,sjʊf
serp,sɛrp
sħiħ,shiːh
sħiħa,shiːhɐ
sħun,shʊn
sorm,sɔrm
srum,srʊm
tajn,tɐɪn
tjun,tjʊn
truf,trʊf
tomna,tɔmnɐ
tqil,tʔɪl
tqal,tʔɐl
twila,twɪlɐ
xaqq,ʃɐʔʔ
xatt,ʃɐtt
nitħemmdu,nɪthɛmmdʊ
jitħemmdu,jɪthɛmmdʊ
titħemmdu,tɪthɛmmdʊ
titħemmedx,tɪthɛmmɛʧʃ
ċnus,ʧnʊs
ċerva,ʧɛrvɐ
darsa,dɐrsɐ
dwal,dwɐl
djun,djʊn
dnub,dnʊp
ferq,fɛrʔ
forn,fɔrn
fran,frɐn
ġnub,ʤnʊp
ġens,ʤɛns
ġnus,ʤnʊs
ġilda,ʤɪldɐ
ġlud,ʤlʊt
gozz,gɔtsts
gzuz,gtsʊts
ħbub,hbʊp
ħdud,hdʊt
ħmir,hmɪr
keffa,kɛffɐ
kliem,klɪːm
komma,kɔmmɐ
lewn,lɛʊn
melħ,mɛlh
moħħ,mɔhh
qmuħ,ʔmʊh
qawl,ʔɐʊl
qwiel,ʔwɪːl
qaws,ʔɐʊs
qwas,ʔwɐs
qfief,ʔfɪːf
qrieq,ʔrɪːʔ
qoxra,ʔɔʃrɐ
qxur,ʔʃʊr
rħis,rhɪs
rħas,rhɐs
rqieq,rʔɪːʔ
sjuf,sjʊf
sruġ,srʊʧ
sawt,sɐʊt
swat,swɐt
sejf,sɛɪf
sriep,srɪːp
sħaħ,shɐh
sħuna,shʊnɐ
sħan,shɐn
sinna,sɪnnɐ
snien,snɪːn
tajra,tɐɪrɐ
tajr,tɐɪr
tarf,tɐrf
tmien,tmɪːn
tqila,tʔɪlɐ
twil,twɪl
twal,twɐl
vers,vɛrs
vrus,vrʊs
xquq,ʃʔʊʔ
xtut,ʃtʊt
xmux,ʃmʊʃ
xħiħ,ʃhiːh
xħiħa,ʃhiːhɐ
xbiek,ʒbɪːk
zokk,tsɔkk
xemx,ʃɛmʃ
xħaħ,ʃhɐh
żejt,zɛɪt
żjut,zjʊt
żobb,zɔbp
żbub,zbʊp
zkuk,tskʊk
zpup,tspʊp
bir,bɪr
but,bʊt
bwiet,bwɪːt
buz,bʊts
bwiez,bwɪːts
ċuċ,ʧʊʧ
ċwieċ,ʧwɪːʧ
dar,dɐr
djar,djɐr
fniek,fnɪːk
ġuf,ʤʊf
ħafif,hɐfɪf
ħafifa,hɐfɪfɐ
ħrief,hrɪːf
ħdan,hdɐn
lpup,lpʊp
mwiel,mwɪːl
mwies,mwɪːs
nadif,nɐdɪf
nadifa,nɐdɪfɐ
qalil,ʔɐlɪl
qliel,ʔlɪːl
rġiel,rʤɪːl
ras,rɐs
rjus,rjʊs
erwieħ,ɛrwɪːh
sbieħ,zbɪːh
sieħeb,sɪːhɛp
snied,snɪːt
swar,swɐr
tifel,tɪfɛl
xieħ,ʃɪːh
xieħa,ʃɪːhɐ
xjuħ,ʃjʊh
flixkun,flɪʃkʊn
praspura,prɐspʊrɐ
btieħi,ptɪːhɪ
ċumnija,ʧʊmnɪjɐ
ċmieni,ʧmɪːnɪ
darba,dɐrbɐ
drabi,drɐbɪ
fsieqi,fsɪːʔɪ
kitla,kɪtlɐ
ktieli,ktɪːlɪ
lejl,lɛɪl
ljieli,ljɪːlɪ
lsir,lsɪr
lsiera,lsɪːrɐ
ltim,ltɪm
ltiema,ltɪːmɐ
niżla,nɪzlɐ
nżieli,nzɪːlɪ
Qriema,ʔrɪːmɐ
qorti,ʔɔrtɪ
qrati,ʔrɐtɪ
sidrija,sɪdrɪjɐ
bjar,bjɐr
fenek,fɛnɛk
fenka,fɛnkɐ
ġwief,ʤwɪːf
ħfief,hfɪːf
ħniek,hnɪːk
ħaruf,hɐrʊf
ħodon,hɔdɔn
lupu,lʊpʊ
mula,mʊlɐ
mus,mʊs
ndaf,ndɐf
qasir,ʔɐsɪr
qasira,ʔɐsɪrɐ
qsar,ʔsɐr
raġel,rɐʤɛl
ruħ,rʊh
sabiħ,sɐbiːh
sabiħa,sɐbiːhɐ
sena,sɛnɐ
snin,snɪn
sieħba,sɪːhbɐ
sħab,shɐp
sined,sɪnɛt
suq,sʊʔ
swieq,swɪːʔ
sur,sʊr
tfal,tfɐl
xifer,ʃɪfɛr
xfar,ʃfɐr
fliexken,flɪːʃkɛn
praspar,prɐspɐr
banda,bɐndɐ
bnadi,bnɐdɪ
bidwi,bɪdwɪ
bidwija,bɪdwɪjɐ
bdiewa,bdɪːwɐ
bitħa,bɪthɐ
fisqija,fɪsʔɪjɐ
qasrija,ʔɐsrɪjɐ
qsari,ʔsɐrɪ
Qormi,ʔɔrmɪ
Qormija,ʔɔrmɪjɐ
tarbija,tɐrbɪjɐ
trabi,trɐbɪ
terħa,tɛrhɐ
trieħi,trɪːhɪ
xatba,ʃɐdbɐ
xibka,ʃɪpkɐ
xbieki,ʒbɪːkɪ
bieqja,bɪːʔjɐ
bwieqi,bwɪːʔɪ
demm,dɛmm
dmija,dmɪjɐ
ġriewi,ʤrɪːwɪ
ħabel,hɐbɛl
ħbula,hbʊlɐ
ħażin,hɐzɪn
ħażina,hɐzɪnɐ
nisrani,nɪsrɐnɪ
nsara,nsɐrɐ
qabar,ʔɐbɐr
qraba,ʔrɐbɐ
raħal,rɐhɐl
sdieri,zdɪːrɪ
xtiebi,ʃtɪːbɪ
xewka,ʃɛʊkɐ
xwieki,ʃwɪːkɪ
xitwa,ʃɪtwɐ
xtiewi,ʃtɪːwɪ
zalza,tsɐltsɐ
zlazi,tslɐtsɪ
ġmula,ʤmʊlɐ
ġeru,ʤɛrʊ
ħanek,hɐnɛk
ħżiena,hzɪːnɐ
nisranija,nɪsrɐnɪjɐ
qbura,ʔbʊrɐ
qamar,ʔɐmɐr
qmura,ʔmʊrɐ
qarib,ʔɐrɪp
qariba,ʔɐrɪbɐ
sniedi,snɪːdɪ
twieqi,twɪːʔɪ
bnadar,bnɐdɐr
bqaqen,pʔɐʔɛn
barbun,bɐrbʊn
braben,brɐbɛn
barkun,bɐrkʊn
bramel,brɐmɛl
bastun,bɐstʊn
bsaten,psɐtɛn
bażbuż,bɐzbʊs
bżabaż,bzɐbɐs
beċċun,bɛʧʧʊn
bċieċen,pʧɪːʧɛn
bekkum,bɛkkʊm
bermuċ,bɛrmʊʧ
betbut,bɛdbʊt
btiebet,ptɪːbɛt
bżiebeż,bzɪːbɛs
beżżul,bɛzzʊl
bixkilla,bɪʃkɪllɐ
bixrun,bɪʃrʊn
bxieren,pʃɪːrɛn
bdabad,bdɐbɐt
borqom,bɔrʔɔm
brieqem,brɪːʔɛm
briedel,brɪːdɛl
burqax,bʊrʔɐʃ
brieqex,brɪːʔɛʃ
bużżieqa,bʊzzɪːʔɐ
bżieżaq,bzɪːzɐʔ
ċangun,ʧɐngʊn
ċappetta,ʧɐppɛttɐ
ċraret,ʧrɐrɛt
ċnieċel,ʧnɪːʧɛl
ċenpula,ʧɛmpʊlɐ
ċniepel,ʧnɪːpɛl
ċrieċer,ʧrɪːʧɛr
denfil,dɛnfɪl
dokkiena,dɔkkɪːnɐ
dbieben,dbɪːbɛn
dbielet,dbɪːlɛt
dħaħen,thɐhɛn
fardal,fɐrdɐl
friefet,frɪːfɛt
fartas,fɐrtɐs
fattamt,fɐttɐmt
fattamt,fɐttɐmt
fattam,fɐttɐm
fattmet,fɐttmɛt
fattamna,fɐttɐmnɐ
fattmu,fɐttmʊ
fattamtu,fɐttɐmtʊ
fattamtx,fɐttɐmtʃ
fattamtx,fɐttɐmtʃ
fattamx,fɐttɐmʃ
fattmitx,fɐttmɪʧʃ
fattamniex,fɐttɐmnɪːʃ
fattmux,fɐttmʊʃ
fattamtux,fɐttɐmtʊʃ
nfattam,nfɐttɐm
tfattam,tfɐttɐm
jfattam,jfɐttɐm
tfattam,tfɐttɐm
nfattmu,nfɐttmʊ
jfattmu,jfɐttmʊ
tfattmu,tfɐttmʊ
nfattamx,nfɐttɐmʃ
tfattamx,tfɐttɐmʃ
jfattamx,jfɐttɐmʃ
tfattamx,tfɐttɐmʃ
nfattmux,nfɐttmʊʃ
jfattmux,jfɐttmʊʃ
tfattmux,tfɐttmʊʃ
fattam,fɐttɐm
tfattamx,tfɐttɐmʃ
fattmu,fɐttmʊ
tfattmux,tfɐttmʊʃ
rħula,rhʊlɐ
sala,sɐlɐ
swali,swɐlɪ
tieqa,tɪːʔɐ
xini,ʃɪnɪ
ballun,bɐllʊn
blalen,blɐlɛn
bandiera,bɐndɪːrɐ
baqqun,bɐʔʔʊn
braken,brɐkɛn
barmil,bɐrmɪl
bkiekem,pkɪːkɛm
briemeċ,brɪːmɛʧ
beżbuża,bɛzbʊzɐ
beżżula,bɛzzʊlɐ
bżieżel,bzɪːzɛl
bezzun,bɛtstsʊn
bziezen,ptsɪːtsɛn
bxiekel,pʃɪːkɛl
bodbod,bɔdbɔt
burdell,bʊrdɛll
buzzell,bʊtstsɛll
bziezel,ptsɪːtsɛl
ċnagan,ʧnɐgɐn
ċappella,ʧɐppɛllɐ
ċpapel,ʧpɐpɛl
ċpiepet,ʧpɪːpɛt
ċarruta,ʧɐrrʊtɐ
ċenċiela,ʧɛnʧɪːlɐ
ċerċur,ʧɛrʧʊr
ċurkett,ʧʊrkɛtt
ċrieket,ʧrɪːkɛt
debbus,dɛbbʊs
dbiebes,dbɪːbɛs
dniefel,dnɪːfɛl
dkaken,tkɐkɛn
dorbies,dɔrbɪːs
driebes,drɪːbɛs
dubbiena,dʊbbɪːnɐ
dublett,dʊblɛtt
duħħan,dʊhhɐn
fradal,frɐdɐl
farfett,fɐrfɛtt
fekruna,fɛkrʊnɐ
fkieren,fkɪːrɛn
fellus,fɛllʊs
furketta,fʊrkɛttɐ
frieket,frɪːkɛt
ġakketta,ʤɐkkɛttɐ
glalen,glɐlɛn
gardell,gɐrdɛll
gendus,gɛndʊs
gniedes,gnɪːdɛs
gerżuma,gɛrzʊmɐ
ġwielaq,ʤwɪːlɐʔ
ġwienaħ,ʤwɪːnɐh
ġolġol,ʤɔlʤɔl
ġlieġel,ʤlɪːʤɛl
griebel,grɪːbɛl
ġurdien,ʤʊrdɪːn
ġrieden,ʤrɪːdɛn
ġurnata,ʤʊrnɐtɐ
ħarpun,hɐrpʊn
ħrapen,hrɐpɛn
fratas,frɐtɐs
flieles,flɪːlɛs
ferfux,fɛrfʊʃ
friefex,frɪːfɛʃ
ġkieket,ʧkɪːkɛt
gallun,gɐllʊn
griedel,grɪːdɛl
geddum,gɛddʊm
gdiedem,gdɪːdɛm
gelgul,gɛlgʊl
gliegel,glɪːgɛl
gerfux,gɛrfʊʃ
griefex,grɪːfɛʃ
grieżem,grɪːzɛm
ġewlaq,ʤɛʊlɐʔ
ġewnaħ,ʤɛʊnɐh
gorboġ,gɔrbɔʧ
griebeġ,grɪːbɛʧ
ġummiena,ʤʊmmɪːnɐ
ġmiemen,ʤmɪːmɛn
gurbell,gʊrbɛll
ġranet,ʤrɐnɛt
ħanżir,hɐnzɪr
ħnieżer,hnɪːzɛr
ħarbux,hɐrbʊʃ
ħriebex,hrɪːbɛʃ
knatan,knɐtɐn
kappell,kɐppɛll
kpiepel,kpɪːpɛl
kappun,kɐppʊn
kpapen,kpɐpɛn
karkur,kɐrkʊr
krakar,krɐkɐr
kartell,kɐrtɛll
kazzola,kɐtstsɔlɐ
kziezel,ktsɪːtsɛl
krieket,krɪːkɛt
kurpett,kʊrpɛtt
maħżen,mɐhzɛn
mħażen,mhɐzɛn
maktur,mɐktʊr
mkatar,mkɐtɐr
mansab,mɐnsɐp
mnasab,mnɐsɐp
maqdas,mɐʔdɐs
martell,mɐrtɛll
mrietel,mrɪːtɛl
masġar,mɐzʤɐr
msaġar,msɐʤɐr
miġnun,mɪʤnʊn
miskina,mɪskɪnɐ
msieken,msɪːkɛn
msieraħ,msɪːrɐh
moħriet,mɔhrɪːt
mħaret,mhɐrɛt
moqdief,mɔʔdɪːf
muftieħ,mʊftɪːh
msiebaħ,msɪːbɐh
msiemer,msɪːmɛr
pċiepeċ,bʧɪːpɛʧ
prapar,prɐpɐr
psiepes,psɪːpɛs
pexpux,pɛʃpʊʃ
pxiepex,pʃɪːpɛʃ
kantun,kɐntʊn
karfusa,kɐrfʊsɐ
krafes,krɐfɛs
krietel,krɪːtɛl
kartoċċ,kɐrtɔʧʧ
krataċ,krɐtɐʧ
kexxun,kɛʃʃʊn
kxaxen,kʃɐʃɛn
kurkett,kʊrkɛtt
kriepet,krɪːpɛt
maħġar,mɐhʤɐr
mħaġar,mhɐʤɐr
mqades,mʔɐdɛs
maqrut,mɐʔrʊt
mqaret,mʔɐrɛt
miġnuna,mɪʤnʊnɐ
mġienen,mʤɪːnɛn
miskin,mɪskɪn
misluta,mɪslʊtɐ
msielet,msɪːlɛt
misraħ,mɪsrɐh
mqadef,mʔɐdɛf
mfietaħ,nfɪːtɐh
musbieħ,mʊzbɪːh
musmar,mʊsmɐr
musrana,mʊsrɐnɐ
msaren,msɐrɛn
nuffata,nʊffɐtɐ
nfafet,nfɐfɛt
pantor,pɐntɔr
pnatar,pnɐtɐr
pastaż,pɐstɐs
pastaża,pɐstɐzɐ
psataż,psɐtɐs
peċluq,pɛʧlʊʔ
pċielaq,bʧɪːlɐʔ
peċpuċa,pɛʧpʊʧɐ
perpura,pɛrpʊrɐ
pespus,pɛspʊs
pexxun,pɛʃʃʊn
pxiexen,pʃɪːʃɛn
pinzell,pɪntsɛll
qantar,ʔɐntɐr
qnatar,ʔnɐtɐr
qartalla,ʔɐrtɐllɐ
qratel,ʔrɐtɛl
qratas,ʔrɐtɐs
rdieden,rdɪːdɛn
rziezet,rtsɪːtsɛt
rkiekel,rkɪːkɛl
rsieset,rsɪːsɛt
salvaġġa,sɐlvɐʤʤɐ
slielem,slɪːlɛm
snieter,snɪːtɛr
serbut,sɛrbʊt
sriebet,srɪːbɛt
serduq,sɛrdʊʔ
sriedaq,srɪːdɐʔ
srieken,srɪːkɛn
serrieq,sɛrrɪːʔ
srieraq,srɪːrɐʔ
sikkina,sɪkkɪnɐ
skieken,skɪːkɛn
suffara,sʊffɐrɐ
pniezel,pnɪːtsɛl
qallut,ʔɐllʊt
qlalet,ʔlɐlɛt
qandul,ʔɐndʊl
qniedel,ʔnɪːdɛl
qanfud,ʔɐnfʊt
qniefed,ʔnɪːfɛt
qartas,ʔɐrtɐs
qattus,ʔɐttʊs
qattusa,ʔɐttʊsɐ
qtates,ʔtɐtɛs
qażquż,ʔɐzʔʊs
qżieqeż,ʔzɪːʔɛs
raddiena,rɐddɪːnɐ
razzett,rɐtstsɛtt
rukkell,rʊkkɛll
russett,rʊssɛtt
saħħar,sɐhhɐr
saħħara,sɐhhɐrɐ
sħaħar,shɐhɐr
salvaġġ,sɐlvɐʤʧ
slavaġ,slɐvɐʧ
sarvetta,sɐrvɛttɐ
srievet,srɪːvɛt
sellum,sɛllʊm
senduq,sɛndʊʔ
sniedaq,snɪːdɐʔ
senter,sɛntɛr
serkin,sɛrkɪn
snanar,snɐnɐr
tanbur,tɐmbʊr
tratan,trɐtɐn
tentufa,tɛntʊfɐ
tnietef,tnɪːtɛf
tnietex,tnɪːtɛʃ
tertuqa,tɛrtʊʔɐ
trietaq,trɪːtɐʔ
verdun,vɛrdʊn
werżieq,wɛrzɪːʔ
wrieżaq,wrɪːzɐʔ
xenxul,ʃɛnʃʊl
zappun,tsɐppʊn
żarbun,zɐrbʊn
żellieqa,zɛllɪːʔɐ
żlielaq,zlɪːlɐʔ
żniebel,znɪːbɛl
żummara,zʊmmɐrɐ
żnażan,znɐzɐn
żurżar,zʊrzɐr
żrieżaq,zrɪːzɐʔ
baħnan,bɐhnɐn
baħnana,bɐhnɐnɐ
bħaħan,phɐhɐn
dabra,dɐbrɐ
dbabar,dbɐbɐr
dawra,dɐʊrɐ
dawriet,dɐʊrɪːt
dwiemel,dwɪːmɛl
fwawar,fwɐʊɐr
kewkba,kɛʊgbɐ
qanżħa,ʔɐnshɐ
salib,sɐlɪp
slaleb,slɐlɛp
tapit,tɐpɪt
sfafar,sfɐfɐr
sultan,sʊltɐn
slaten,slɐtɛn
sunnara,sʊnnɐrɐ
takkuna,tɐkkʊnɐ
tkaken,tkɐkɛn
tnabar,tnɐbɐr
tartana,tɐrtɐnɐ
tellieqa,tɛllɪːʔɐ
tlielaq,tlɪːlɐʔ
tentuxa,tɛntʊʃɐ
vrieden,vrɪːdɛn
xniexel,ʃnɪːʃɛl
zpapan,tspɐpɐn
żraben,zrɐbɛn
żarġun,zɐrʤʊn
żraġen,zrɐʤɛn
żarmuġ,zɐrmʊʧ
żrameġ,zrɐmɛʧ
żarżur,zɐrzʊr
żrażar,zrɐzɐr
żenbil,zɛmbɪl
żerriegħa,zɛrrɪːɐː
żrieragħ,zrɪːrɐːh
żmamar,zmɐmɐr
żunnara,zʊnnɐrɐ
żnanar,znɐnɐr
zuntier,tsʊntɪːr
znieter,tsnɪːtɛr
żunżan,zʊnzɐn
żurrieqi,zʊrrɪːʔɪ
żrieraq,zrɪːrɐʔ
żrażar,zrɐzɐr
beritta,bɛrɪttɐ
brieret,brɪːrɛt
ċavetta,ʧɐvɛttɐ
ċwievet,ʧwɪːvɛt
demla,dɛmlɐ
difer,dɪfɛr
dwiefer,dwɪːfɛr
fawra,fɐʊrɐ
gverta,gvɛrtɐ
gvieret,gvɪːrɛt
ħanut,hɐnʊt
ħwienet,hwɪːnɛt
kamra,kɐmrɐ
kmamar,kmɐmɐr
kwiekeb,kwɪːkɛp
muntun,mʊntʊn
mtaten,mtɐtɛn
qanpiena,ʔɐmpɪːnɐ
qniepen,ʔnɪːpɛn
qnieżaħ,ʔnɪːzɐh
riefnu,rɪːfnʊ
rwiefen,rwɪːfɛn
taġen,tɐʤɛn
twaġen,twɐʤɛn
twavel,twɐvɛl
twiebet,twɪːbɛt
xwabel,ʃwɐbɛl
xafra,ʃɐfrɐ
xfafar,ʃfɐfɐr
xerqa,ʃɛrʔɐ
xitan,ʃɪtɐn
twapet,twɐpɛt
tavla,tɐvlɐ
tebut,tɛbʊt
xabla,ʃɐblɐ
xrieraq,ʃrɪːrɐʔ
xifajk,ʃɪfɐɪk
xjafek,ʃjɐfɛk
żejtunija,zɛɪtʊnɪjɐ
żiemel,zɪːmɛl
żrieżaq,zrɪːzɐʔ
persjajjen,pɛrsjɐɪjɛn
fqir,fʔɪr
fqira,fʔɪrɐ
ġdida,ʤdɪdɐ
ġodda,ʤɔddɐ
ġnien,ʤnɪːn
kotba,kɔdbɐ
marid,mɐrɪt
marida,mɐrɪdɐ
morda,mɔrdɐ
mera,mɛrɐ
mirja,mɪrjɐ
nodfa,nɔtfɐ
qadim,ʔɐdɪm
qadima,ʔɐdɪmɐ
qosra,ʔɔsrɐ
tabiba,tɐbɪbɐ
bhima,bɪmɐ
abjad,ɐbjɐt
bajda,bɐɪdɐ
ħodor,hɔdɔr
aħmar,ɐhmɐr
ħamra,hɐmrɐ
ħomor,hɔmɔr
aħrax,ɐhrɐʃ
ħarxa,hɐrʃɐ
rotob,rɔtɔp
bank,bɐnk
banka,bɐnkɐ
baqar,bɐʔɐr
berġa,bɛrʤɐ
bereġ,bɛrɛʧ
boċċa,bɔʧʧɐ
boċoċ,bɔʧɔʧ
bolla,bɔllɐ
borok,bɔrɔk
borma,bɔrmɐ
borom,bɔrɔm
borża,bɔrzɐ
boroż,bɔrɔs
bozoz,bɔtsɔts
ċanga,ʧɐngɐ
ċaneg,ʧɐnɛk
ċapep,ʧɐpɛp
ċella,ʧɛllɐ
ċinet,ʧɪnɛt
ċoqoq,ʧɔʔɔʔ
ċorom,ʧɔrɔm
doċoċ,dɔʧɔʧ
farsa,fɐrsɐ
faxxa,fɐʃʃɐ
faxex,fɐʃɛʃ
fidda,fɪddɐ
firma,fɪrmɐ
xjaten,ʃjɐtɛn
żejtuni,zɛɪtʊnɪ
żwiemel,zwɪːmɛl
żinġla,zɪnʤlɐ
żnieġel,znɪːʤɛl
żurriqija,zʊrriːʔɪjɐ
persjana,pɛrsjɐnɐ
ġdid,ʤdɪt
ġonna,ʤɔnnɐ
ktieb,ktɪːp
qodma,ʔɔdmɐ
saqaf,sɐʔɐf
soqfa,sɔʔfɐ
tabib,tɐbɪp
tobba,tɔbbɐ
bhejjem,bɛɪjɛm
ċikkulata,ʧɪkkʊlɐtɐ
ċikkulajjet,ʧɪkkʊlɐɪjɛt
bojod,bɔɪɔt
aħdar,ɐhdɐr
ħadra,hɐdrɐ
ħorox,hɔrɔʃ
armel,ɐrmɛl
armla,ɐrmlɐ
romol,rɔmɔl
artab,ɐrtɐp
ratba,rɐdbɐ
balla,bɐllɐ
balal,bɐlɐl
banda,bɐndɐ
baned,bɐnɛt
banek,bɐnɛk
baqra,bɐʔrɐ
birra,bɪrrɐ
birer,bɪrɛr
bolol,bɔlɔl
borka,bɔrkɐ
bozza,bɔtstsɐ
ċappa,ʧɐppɐ
ċarru,ʧɐrrʊ
ċarar,ʧɐrɐr
ċelel,ʧɛlɛl
ċerna,ʧɛrnɐ
ċeren,ʧɛrɛn
ċinga,ʧɪngɐ
ċineg,ʧɪnɛk
ċinta,ʧɪntɐ
ċoqqa,ʧɔʔʔɐ
doċċa,dɔʧʧɐ
falz,fɐlts
falza,fɐltsɐ
foloz,fɔlɔts
fares,fɐrɛs
farxa,fɐrʃɐ
farax,fɐrɐʃ
fided,fɪdɛt
fixex,fɪʃɛʃ
forġa,fɔrʤɐ
foroġ,fɔrɔʧ
girna,gɪrnɐ
giren,gɪrɛn
gomom,gɔmɔm
ġonot,ʤɔnɔt
ħofor,hɔfɔr
firem,fɪrɛm
fixxa,fɪʃʃɐ
folla,fɔllɐ
folol,fɔlɔl
forka,fɔrkɐ
forok,fɔrɔk
forma,fɔrmɐ
forom,fɔrɔm
fossa,fɔssɐ
fosos,fɔsɔs
gaffa,gɐffɐ
gafef,gɐfɛf
gaġġa,gɐʤʤɐ
gaġeġ,gɐʤɛʧ
ġarra,ʤɐrrɐ
ġarar,ʤɐrɐr
gomma,gɔmmɐ
ġonta,ʤɔntɐ
ħalla,hɐllɐ
ħalel,hɐlɛl
ħofra,hɔfrɐ
ħolqa,hɔlʔɐ
ħotba,hɔdbɐ
ħotob,hɔtɔp
iblah,ɪblɐːh
kaħla,kɐhlɐ
koħol,kɔhɔl
ikrah,ɪkrɐːh
kerha,kɛrɐː
isfar,ɪsfɐr
somor,sɔmɔr
iswed,ɪswɛt
sewda,sɛʊdɐ
suwed,sʊwɛt
iżraq,ɪzrɐʔ
żoroq,zɔrɔʔ
kanen,kɐnɛn
kappa,kɐppɐ
kapep,kɐpɛp
kobob,kɔbɔp
koxox,kɔʃɔʃ
labra,lɐbrɐ
labar,lɐbɐr
lanċa,lɐnʧɐ
laneċ,lɐnɛʧ
